symbol,event_date,control_dates,dataset,schema,start,end,status,rows,detail,derived_bars_sha256,raw_payload_retained,bars_path
IOVA,2022-02-25,2022-02-17|2022-02-18|2022-02-22|2022-02-23|2022-02-24,XNAS.ITCH,ohlcv-1m,2022-02-17T14:30:00+00:00,2022-02-25T21:00:00+00:00,pass,2294,derived_bars_written_raw_not_retained,2880b9b9bf1d6fe40a2c9df5597db714042f0d8bb2f4ed328a826439463f9dd2,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2022-02-25\bars.csv
CABA,2022-03-17,2022-03-10|2022-03-11|2022-03-14|2022-03-15|2022-03-16,XNAS.ITCH,ohlcv-1m,2022-03-10T14:30:00+00:00,2022-03-17T20:00:00+00:00,pass,446,derived_bars_written_raw_not_retained,41fb39606ddfc67c7588f47131ed9616db2bcee59d5b8dcc3df2cf019382dbf2,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2022-03-17\bars.csv
CRMD,2022-03-30,2022-03-23|2022-03-24|2022-03-25|2022-03-28|2022-03-29,XNAS.ITCH,ohlcv-1m,2022-03-23T13:30:00+00:00,2022-03-30T20:00:00+00:00,pass,1191,derived_bars_written_raw_not_retained,b7dd9b6fbfa5577f513414d712f07355051bea7e4f41e1d255bec453a13d11e3,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2022-03-30\bars.csv
AEHR,2022-04-01,2022-03-25|2022-03-28|2022-03-29|2022-03-30|2022-03-31,XNAS.ITCH,ohlcv-1m,2022-03-25T13:30:00+00:00,2022-04-01T20:00:00+00:00,pass,1667,derived_bars_written_raw_not_retained,776e9a1e47ce390ccbd067d4c3f2f4eee8ba05a612c6b02b63bac03806aa57da,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\AEHR_2022-04-01\bars.csv
ARRY,2022-04-06,2022-03-30|2022-03-31|2022-04-01|2022-04-04|2022-04-05,XNAS.ITCH,ohlcv-1m,2022-03-30T13:30:00+00:00,2022-04-06T20:00:00+00:00,pass,2471,derived_bars_written_raw_not_retained,c873d3369b8a529ee47d1cfb966547aa7f10831e8e8cdd16c88d04e3864add77,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2022-04-06\bars.csv
IOVA,2022-05-06,2022-04-29|2022-05-02|2022-05-03|2022-05-04|2022-05-05,XNAS.ITCH,ohlcv-1m,2022-04-29T13:30:00+00:00,2022-05-06T20:00:00+00:00,pass,2291,derived_bars_written_raw_not_retained,f2e7b7a298a2eb79caae0be4a49bf09ae2c95a13ac2ed4adaaff37a441a45038,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2022-05-06\bars.csv
ARRY,2022-05-11,2022-05-04|2022-05-05|2022-05-06|2022-05-09|2022-05-10,XNAS.ITCH,ohlcv-1m,2022-05-04T13:30:00+00:00,2022-05-11T20:00:00+00:00,pass,2467,derived_bars_written_raw_not_retained,a895a79bde4744c5fbfbdb15c0b31ae647445910f7c29fee0cc7e67176443c34,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\ARRY_2022-05-11\bars.csv
CABA,2022-05-12,2022-05-05|2022-05-06|2022-05-09|2022-05-10|2022-05-11,XNAS.ITCH,ohlcv-1m,2022-05-05T13:30:00+00:00,2022-05-12T20:00:00+00:00,pass,282,derived_bars_written_raw_not_retained,a5292d6ba47e53eaae0de92b9ae490ecdadbae97a72892c47deb83d075e59dc8,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CABA_2022-05-12\bars.csv
CRMD,2022-05-13,2022-05-06|2022-05-09|2022-05-10|2022-05-11|2022-05-12,XNAS.ITCH,ohlcv-1m,2022-05-06T13:30:00+00:00,2022-05-13T20:00:00+00:00,pass,1060,derived_bars_written_raw_not_retained,9866df42e7068900c3396bb7f82763ad0545c05296bbc688af1d56015091d6e7,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\CRMD_2022-05-13\bars.csv
IOVA,2022-08-05,2022-07-29|2022-08-01|2022-08-02|2022-08-03|2022-08-04,XNAS.ITCH,ohlcv-1m,2022-07-29T13:30:00+00:00,2022-08-05T20:00:00+00:00,pass,2289,derived_bars_written_raw_not_retained,b6581bfe152485f5f33598289d9c53422b6ebc280072642b14c5fef1753dc5f1,False,experiments\provider_aware_research\data_inputs\sec8k_tape_oracle_clean_run_002_20260523\IOVA_2022-08-05\bars.csv
