symbol,market_cap,is_etf
AEHR,3058199992,False
AMPX,2365173847,False
ARBE,98242444,False
ARRY,1318292012,False
ATEC,1156495570,False
BBAI,2002008618,False
CABA,632633227,False
CERS,522963001,False
CIFR,8405960686,False
CRCT,902564166,False
CRMD,621262942,False
CRNC,445827894,False
DLO,4040567740,False
DNA,583347724,False
DNN,3381019713,False
EAF,241984386,False
EOSE,2719417681,False
EVGO,617752605,False
FCEL,725796754,False
FUBO,302597929,False
GCT,1463029912,False
GDRX,988932114,False
GERN,891714144,False
HIMX,3103037169,False
HUT,11086016164,False
IOVA,1616338622,False
IREN,20303661885,False
KURA,836144678,False
LAC,1942935291,False
LUNR,4634094974,False
LXRX,888392780,False
MVST,707230212,False
NVTS,4253579799,False
OPEN,4833330747,False
OUST,1604558363,False
PACB,437786799,False
PL,13913590698,False
PRCH,1200153901,False
QS,4638193849,False
RGTI,6294624856,False
ROOT,892761354,False
SANA,947671050,False
SHLS,1483102887,False
SLDP,691824863,False
STEM,82045688,False
TMC,3179970795,False
VUZI,258622176,False
WKHS,38235212,False
WULF,11522728981,False
ZYME,1757681501,False
